%time,field
1559775764631745100,522.520649744
1559775764635035037,522.495153977
1559775764635602951,522.494974765
1559775764637307882,522.495938719
1559775764639332056,522.493068322
1559775764641267061,522.483218603
1559775764643474102,522.487914738
1559775764645809888,522.489086409
1559775764646524906,522.489031146
1559775764647522926,522.476059616
1559775764649523973,522.470529778
1559775764651173114,522.46863813
1559775764653186082,522.455743839
1559775764655549049,522.449939498
1559775764657377958,522.452095684
1559775764659519910,522.446344654
1559775764661000013,522.445088048
1559775764663471937,522.432243086
1559775764665673017,522.437720569
1559775764665884017,522.438529555
1559775764667553901,522.441069295
1559775764669337987,522.450532945
1559775764671432018,522.452063049
1559775764673142910,522.440165399
1559775764675659894,522.434712748
1559775764677648067,522.437382335
1559775764679497003,522.450439058
1559775764681754112,522.442260774
1559775764683321952,522.451513215
1559775764684948921,522.457053898
1559775764685385942,522.457383053
1559775764687223911,522.45601013
1559775764689225912,522.451415376
1559775764690998077,522.456703055
1559775764695444107,522.457162264
1559775764695800065,522.457408317
1559775764697190046,522.452643027
1559775764699497938,522.46813522
1559775764701129913,522.463074357
1559775764703109025,522.468397727
1559775764705437898,522.469882072
1559775764705862998,522.469981688
1559775764707130908,522.485146637
1559775764709695100,522.476173308
1559775764711146116,522.484570471
1559775764713211059,522.475537647
1559775764716403961,522.475136805
1559775764717046022,522.484000322
1559775764721043109,522.50032545
1559775764723069906,522.501593848
1559775764725490093,522.502854376
1559775764725833892,522.502454478
1559775764727559089,522.518304949
1559775764729191064,522.511511917
1559775764732254981,522.508873025
1559775764733098030,522.517029787
1559775764734982967,522.517591108
1559775764735662937,522.516819473
1559775764737072944,522.52089664
1559775764739209890,522.52541382
1559775764741208076,522.539813235
1559775764743181943,522.525805979
1559775764745409965,522.512466638
1559775764745877027,522.511847339
1559775764747356891,522.505600332
1559775764749588012,522.499648135
1559775764751343011,522.500609373
1559775764753243923,522.504986135
1559775764755131006,522.492248402
1559775764755513906,522.49196308
1559775764757080078,522.496386075
1559775764759116888,522.51094853
1559775764761084079,522.514937955
1559775764763274908,522.515861301
1559775764765424013,522.527139505
1559775764765784978,522.526413674
1559775764769782066,522.541999754
1559775764773196935,522.54327208
1559775764775423049,522.536120469
1559775764775702953,522.535276468
1559775764777158975,522.52781763
1559775764779079914,522.549638632
1559775764781339883,522.542605931
1559775764783085107,522.545928275
1559775764785367012,522.546645832
1559775764785906076,522.549021173
1559775764787305116,522.548489177
1559775764789340972,522.548765544
1559775764791156053,522.548226087
1559775764793428897,522.533908936
1559775764795260906,522.530182139
1559775764797310113,522.523065959
1559775764799377918,522.523621947
1559775764801181077,522.534440383
1559775764803132057,522.530780558
1559775764805507898,522.534815335
1559775764807311058,522.53111642
1559775764809561014,522.527926536
1559775764811429023,522.502793228
1559775764814431905,522.499843938
1559775764816953897,522.50820995
1559775764818334102,522.512745335
1559775764820435047,522.509401744
1559775764822060108,522.513650093
1559775764823875904,522.51423807
1559775764826513051,522.48806885
1559775764827819108,522.485428556
1559775764829384088,522.46432998
1559775764831677913,522.454326837
1559775764833332061,522.452680778
1559775764835450887,522.45179094
1559775764835894107,522.443480576
1559775764837182044,522.434845365
1559775764839673042,522.440346939
1559775764841288089,522.450189
